# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
435,education,n,名词,教育
436,educational,adj,形容词,教育的
437,effect,n,名词,效果
438,efficient,adj,形容词,效率高的；有能力的
439,egg,n,名词,蛋；卵
440,either,adj,形容词,(两者中)任何一方(的)；两者之一的
441,elder,adj,形容词,年龄较大的；年长的
442,electric,adj,形容词,电的
443,electricity,n,名词,电
444,electronic,adj,形容词,电子的
445,elementary,adj,形容词,初级的；基本的
446,elephant,n,名词,大象
447,else,adj,形容词,其他的；别的
448,empty,adj,形容词,空的
449,encourage,v,动词,鼓励；怂恿
450,end,n,名词,末尾；终点；未端
451,enemy,n,名词,敌人
452,energy,n,名词,活力；能量
453,engine,n,名词,"引擎, 发动机"
454,engineer,n,名词,工程师
455,English,n,名词,英国；英国人；英语
456,enjoy,v,动词,欣赏；享有；喜欢
457,enjoyable,adj,形容词,"使人愉快的, 使人欢乐的"
458,enough,adj,形容词,足够的；充分的
459,enter,v,动词,进入；参加
460,entrance,n,名词,入口
461,envelope,n,名词,信封
462,environment,n,名词,环境
463,equal,v,动词,等于
464,escape,v,动词,逃跑；逃亡
465,especially,adv,副词,特别地
466,estate,n,名词,住宅区
467,Europe,n,名词,欧洲
468,eve,n,名词,(节日的)前夜，前夕
469,even,adv,副词,甚至；连(……都)；更
470,evening,n,名词,傍晚；晚上
471,event,n,名词,比赛项目；事件
472,ever,adv,副词,曾经；在任何时候
473,every,adj,形容词,每一；每个的
474,everybody/everyone,pron,代词,每人；人人
475,everyday,adj,形容词,每日的；日常的
476,everything,pron,代词,每件事；事事
477,everywhere,adv,副词,到处
478,exactly,adv,副词,确切地，精确地；
479,exam,n,名词,考试；测试；检查
480,examine,v,动词,检查；细查；对……进行考试
481,example,n,名词,例子；榜样
482,excellent,adj,形容词,极好的
483,except,prep,介词,除……以外
484,exchange,v,动词,交换；交流
485,excited,adj,形容词,兴奋的
486,exciting,adj,形容词,使人兴奋的
487,excuse,v,动词,原谅；宽恕
488,exercise,n,名词,锻炼；做操；练习；习题
489,exhibition,n,名词,展览；展览会
490,expect,v,动词,期待
491,expense,n,名词,花费；费用
492,expensive,adj,形容词,昂贵的
493,experience,n,名词,经验；经历
494,experiment,n,名词,实验
495,explain,v,动词,解释；说明
496,explore,v,动词,探究，探索；勘察
497,extend,v,动词,"伸, 伸出"
498,eye,n,名词,眼睛
499,fable,n,名词,寓言
500,face,n,名词,脸；面孔
501,fact,n,名词,事实；实际
502,factory,n,名词,工厂
503,fail,v,动词,失败；不及格
504,fair,adj,形容词,公平的；合理的
505,"fall (fell, fallen)",v,动词,落下；下降；倒下；
506,familiar,adj,形容词,熟悉的
507,family,n,名词,家庭
508,famous,adj,形容词,著名的
509,fan,n,名词,扇子
510,farm,n,名词,农场；农庄
511,farmer,n,名词,"农民, 农夫"
512,fast,adj,形容词,快的；迅速的
513,fat,adj,形容词,肥胖的
514,father,n,名词,父亲
515,favour,n,名词,恩惠
516,favourite,adj,形容词,最喜爱的
517,fax,n,名词,传真
518,fear,n,名词,恐惧
519,February,n,名词,二月
520,"feed (fed, fed)",v,动词,喂养；饲养
521,"feel (felt, felt)",v,动词,感觉；摸；触
522,female,n,名词,女性；雌性
523,fence,n,名词,围墙；栅栏
524,ferry,n,名词,渡船
525,festival,n,名词,节日
526,fetch,v,动词,取
527,fever,n,名词,发烧
528,few,pron,代词,不多；少数
529,field,n,名词,田地；牧场；场地；原野；战地
530,"fight (fought, fought)",v,动词,打仗
531,figure,n,名词,外形；数字
532,fill,v,动词,装满；注满；充满
533,film,n,名词,电影；影片；胶卷
534,final,adj,形容词,最后的；最终的
535,finally,adv,副词,"最终, 最后"
536,"find (found, found)",v,动词,找到；发现；发觉
537,fine,adj,形容词,(身体)好；美好的；晴朗的
538,finger,n,名词,手指
539,finish,v,动词,结束；做完
540,fire,n,名词,火；火炉；火灾
541,fireman,n,名词,消防队员
542,firework,n,名词,烟火
543,first,adj,形容词,第一的；最初的
544,fish,n,名词,鱼；鱼肉
545,fisherman,n,名词,渔夫，捕鱼人
546,"fit (fit, fit ; fitted, fitted)",v,动词,适合；与……相配
547,fix,v,动词,安装；修理
548,flag,n,名词,旗
549,flash,n,名词,闪光；闪现；手电筒
550,flat,n,名词,一套房间；公寓
